SEED: 5987 REWARD: 10 SUCCESS @ EP:  2709
SEED: 9086 REWARD: 5 SUCCESS @ EP:  2920
SEED: 9086 REWARD: 1 SUCCESS @ EP:  3483
SEED: 7544 REWARD: 10 SUCCESS @ EP:  2735
SEED: 9086 REWARD: 10 SUCCESS @ EP:  2788
SEED: 862 REWARD: 5 SUCCESS @ EP:  3946
SEED: 7544 REWARD: 5 SUCCESS @ EP:  2769
SEED: 7544 REWARD: 20 SUCCESS @ EP:  2784
SEED: 862 REWARD: 1 FAILURE
SEED: 3463 REWARD: 1 FAILURE
SEED: 394 REWARD: 1 FAILURE
SEED: 9588 REWARD: 1 FAILURE
SEED: 7285 REWARD: 1 FAILURE
SEED: 334 REWARD: 1 FAILURE
SEED: 5987 REWARD: 1 FAILURE
SEED: 9213 REWARD: 1 FAILURE
SEED: 9086 REWARD: 20 SUCCESS @ EP:  2833
SEED: 7285 REWARD: 10 SUCCESS @ EP:  3325
SEED: 862 REWARD: 10 SUCCESS @ EP:  3326
SEED: 9086 REWARD: 50 SUCCESS @ EP:  3481
SEED: 7544 REWARD: 50 SUCCESS @ EP:  3016
SEED: 9588 REWARD: 20 SUCCESS @ EP:  3482
SEED: 9086 REWARD: 100 SUCCESS @ EP:  4363
SEED: 334 REWARD: 10 SUCCESS @ EP:  3387
SEED: 5253 REWARD: 1 FAILURE
SEED: 7544 REWARD: 100 SUCCESS @ EP:  3575
SEED: 6529 REWARD: 20 SUCCESS @ EP:  2704
SEED: 9213 REWARD: 10 SUCCESS @ EP:  4374
SEED: 394 REWARD: 50 SUCCESS @ EP:  3578
SEED: 7285 REWARD: 20 SUCCESS @ EP:  3958
SEED: 5253 REWARD: 20 SUCCESS @ EP:  3677
SEED: 334 REWARD: 50 SUCCESS @ EP:  4316
SEED: 3121 REWARD: 5 SUCCESS @ EP:  5820
SEED: 9588 REWARD: 50 SUCCESS @ EP:  4225
SEED: 394 REWARD: 100 SUCCESS @ EP:  3985
SEED: 3463 REWARD: 10 SUCCESS @ EP:  4305
SEED: 334 REWARD: 5 SUCCESS @ EP:  5680
SEED: 862 REWARD: 50 SUCCESS @ EP:  4054
SEED: 7561 REWARD: 1 FAILURE
SEED: 334 REWARD: 100 SUCCESS @ EP:  6231
SEED: 7285 REWARD: 100 SUCCESS @ EP:  4675
SEED: 862 REWARD: 100 SUCCESS @ EP:  4636
SEED: 9588 REWARD: 100 SUCCESS @ EP:  4854
SEED: 3463 REWARD: 50 SUCCESS @ EP:  4952
SEED: 5253 REWARD: 100 SUCCESS @ EP:  4601
SEED: 6529 REWARD: 1 SUCCESS @ EP:  8168
SEED: 6529 REWARD: 50 SUCCESS @ EP:  3506
SEED: 334 REWARD: 20 SUCCESS @ EP:  4610
SEED: 228 REWARD: 50 SUCCESS @ EP:  4355
SEED: 228 REWARD: 100 SUCCESS @ EP:  5046
SEED: 3172 REWARD: 5 SUCCESS @ EP:  2469
SEED: 5253 REWARD: 50 SUCCESS @ EP:  4174
SEED: 3463 REWARD: 100 SUCCESS @ EP:  5654
SEED: 3172 REWARD: 1 SUCCESS @ EP:  2777
SEED: 3172 REWARD: 50 SUCCESS @ EP:  2981
SEED: 3172 REWARD: 10 SUCCESS @ EP:  2875
